code,name,category,severity,causes,fix_plan,parts,est_hours,maintain_cost_cny,keywords,source
ELE-06,显示屏黑屏,ELE,M,电源保险断;显示屏故障;线束接触不良,查保险与供电;重启屏;更换显示屏,保险片;显示屏,2,5800,屏幕不亮,维保知识库（公开资料整理）
ELE-07,安全带未系报警误报,ELE,L,传感器卡滞;线路受潮,清洁传感器;处理受潮接插件,安全带传感器,1,300,误报警,维保知识库（公开资料整理）
ELE-08,作业灯不亮,ELE,L,灯泡烧毁;保险熔断;开关损坏,更换灯泡与保险;检修开关,灯泡;保险片;开关,1,200,灯不亮,维保知识库（公开资料整理）
ELE-09,电控油门失灵,ELE,M,油门踏板传感器故障;执行器卡滞;线束断路,检测踏板信号;检修执行器;查线束,油门踏板;执行器,3,1800,油门没反应,维保知识库（公开资料整理）
ELE-10,GPS定位终端离线,ELE,M,终端天线故障;SIM欠费;信号盲区,检查天线与SIM卡;更换终端,天线;定位终端,2,900,定位丢失;离线,维保知识库（公开资料整理）
TRN-01,变速箱异响挂挡困难,TRN,H,变速箱油不足;同步器磨损;离合器分离不彻底,检查油位;更换同步器;调整离合器,变速箱油;同步器,8,7200,挂挡响;难挂挡,维保知识库（公开资料整理）
TRN-02,变速箱油温过高,TRN,H,散热器脏堵;油量不足;负荷过大,清洗散热器;补油;检查冷却油路,变速箱油;散热器芯,4,3100,变速箱高温,维保知识库（公开资料整理）
TRN-03,差速器异响,TRN,M,齿轮磨损;轴承间隙大;油量不足,检查油位;检修差速器更换齿轮组,差速器修理包;齿轮油,9,6400,后桥响,维保知识库（公开资料整理）
TRN-04,传动轴万向节松动,TRN,M,十字轴磨损;花键磨损,更换万向节总成;检查花键配合,万向节;传动轴,4,2200,传动轴响,维保知识库（公开资料整理）
TRN-05,轮边减速器漏油,TRN,M,油封老化;壳体裂纹,更换油封;焊补或更换壳体,轮边油封;齿轮油,5,1800,轮边漏油,维保知识库（公开资料整理）
TRN-06,制动气压不足,TRN,H,空压机故障;储气筒漏气;调压阀失效,检修空压机;查漏补焊储气筒;更换调压阀,空压机修理包;调压阀,4,2600,刹车没气;气压低,维保知识库（公开资料整理）
TRN-07,制动跑偏,TRN,H,制动蹄磨损不均;分泵卡滞;制动间隙不一致,更换制动蹄片;检修分泵;调整间隙,制动蹄片;分泵修理包,6,3300,刹车跑偏,维保知识库（公开资料整理）
TRN-08,制动鼓高温冒烟,TRN,H,制动间隙过小;手刹未松;制动回位不良,调整间隙;检查手刹机构;检修回位弹簧,回位弹簧;制动蹄片,3,1400,刹车冒烟;轮毂烫,维保知识库（公开资料整理）
UND-01,轮胎异常磨损,UND,M,胎压不足;定位失准;偏载,检查胎压充至标准值;做定位校准;控制装车偏载,轮胎,2,1600,吃胎;磨胎,维保知识库（公开资料整理）
UND-02,轮胎扎破漏气,UND,M,路面异物;胎体老化,补胎或更换;清理运输道路,轮胎;补胎胶,2,950,爆胎;漏气,维保知识库（公开资料整理）
UND-03,履带张紧过松,UND,M,张紧油缸泄压;引导轮磨损,调整张紧油缸;更换引导轮,张紧油缸;引导轮,3,2100,掉链;履带松,维保知识库（公开资料整理）
UND-04,支重轮异响漏油,UND,M,油封失效;轴承磨损,更换油封轴承,支重轮油封;轴承,3,1300,支重轮响,维保知识库（公开资料整理）
UND-05,车架裂纹,UND,H,超载疲劳;焊缝缺陷,探伤检查;补焊加强,焊材,12,5200,车架裂,维保知识库（公开资料整理）
UND-06,悬挂油缸塌陷,UND,M,氮气不足;油封泄漏,补充氮气;更换密封,悬挂油缸密封;氮气,3,1700,悬挂塌,维保知识库（公开资料整理）
MNT-01,每250小时保养(例保),MNT,L,例行保养到期,按标准执行例保并登记,机油;滤芯;黄油,2,800,例保;250小时保养,维保知识库（公开资料整理）
MNT-02,每500小时更换机油机滤,MNT,L,保养周期到,更换机油与滤芯并记录工时,机油;机油滤芯,2,1200,换机油;500小时,维保知识库（公开资料整理）
MNT-03,每1000小时更换液压油滤芯,MNT,L,保养周期到,更换液压回油滤与先导滤,液压油滤芯;先导滤芯,2,900,液压滤芯;1000小时,维保知识库（公开资料整理）
MNT-04,每2000小时更换液压油,MNT,M,保养周期到,放旧油清洗油箱换新油,液压油;油箱密封,4,6800,换液压油;2000小时,维保知识库（公开资料整理）
MNT-05,每2000小时更换齿轮油,MNT,M,保养周期到,更换变速箱与轮边齿轮油,齿轮油,3,2900,换齿轮油,维保知识库（公开资料整理）
MNT-06,每2000小时发动机大保养,MNT,M,保养周期到,更换全部滤芯并检测气门间隙,空气滤芯;柴油滤芯;机油;气门垫,6,4200,大保养;2000小时保养,维保知识库（公开资料整理）
